id,tipo,raza,
1,canino,Affenpinscher,
2,canino,Afgano,
3,canino,Akita,
4,canino,Akita Americano,
5,canino,Alano español, 
6,canino,American Bully,
7,canino,American Foxhound,
8,canino,American Pitbull Terrier,
9,canino,American Staffordshire,
10,canino,Australian Silky Terrier,
11,canino,Azawakh,
12,canino,Barbet,
13,canino,Basenji,
14,canino,Basset artesiano de Normandia,
15,canino,Basset azul de Gascuña,
16,canino,Basset Hound,
17,canino,Basset Leonardo de Bretaña,
18,canino,Beagle,
19,canino,Beagle – Harrier,
20,canino,Berger de Picardie,
21,canino,Bichón Boloñés,
22,canino,Bichón Frisé,
23,canino,Bichón Habanero,
24,canino,Bichón Maltés,
25,canino,Billy,
26,canino,Black and Tan Coonhound,
27,canino,Bloodhound,
28,canino,Bobtail,
29,canino,Bodeguero Andaluz,
30,canino,Boerboel,
31,canino,Border Collie,
32,canino,Border Terrier,
33,canino,Borzoi (Galgo Ruso),
34,canino,Boston Terrier,
35,canino,Bóxer,
36,canino,Boyero Australiano,
37,canino,Boyero de Flandes,
38,canino,Boyero de las Ardenas,
39,canino,Braco alemán de pelo corto,
40,canino,Braco alemán de pelo duro,
41,canino,Braco de Auvernia,
42,canino,Braco de Weimar,
43,canino,Braco del Ariège,
44,canino,Braco del Bourbonnais,
45,canino,"Braco francés, tipo Gascuña, talla grande",
46,canino,"Braco francés, tipo Pirineos, talla pequeña",
47,canino,Braco Italiano,
48,canino,Braco San Germain,
49,canino,Briard,
50,canino,Brittany,
51,canino,Broholmer,
52,canino,Buhund noruego,
53,canino,Bull Terrier,
54,canino,Bull Terrier miniature,
55,canino,Bulldog,
56,canino,Bulldog Americano,
57,canino,Bulldog francés,
58,canino,Bullmastín,
59,canino,Cairn Terrier,
60,canino,Cane Corso,
61,canino,Caniche (Poodle),
62,canino,Carlino,
63,canino,Cavalier King Charles,
64,canino,Chihuahua,
65,canino,Chin Japonés,
66,canino,Chow Chow,
67,canino,Cimarrón Uruguayo,
68,canino,Cirneco Del Etna,
69,canino,Clumber Spaniel,
70,canino,Cobrador de Nueva Escocia,
71,canino,Cocker Americano,
72,canino,Cocker Spaniel,
73,canino,Collie,
74,canino,Collie Barbudo,
75,canino,Collie Smooth,
76,canino,Corgi Galés Cárdigan,
77,canino,Corgi Galés Pembroke,
78,canino,Cotón de Tuléar,
79,canino,Curly Coated Retriever (de pelo rizado),
80,canino,Dálmata,
81,canino,Dandie Dinmont Terrier,
82,canino,Deerhound Escocés,
83,canino,Doberman,
84,canino,Dogo Argentino,
85,canino,Dogo Canario,
86,canino,Dogo de Burdeos,
87,canino,Dogo Mallorquín,
88,canino,Drever,
89,canino,Elkhound Noruego,
90,canino,Epagneul breton,
91,canino,Eurasier,
92,canino,Faraón Hound,
93,canino,Field Spaniel,
94,canino,Fila Brasileiro,
95,canino,Fila de San Miguel,
96,canino,Fox Terrier de pelo liso,
97,canino,Fox Terrier pelo duro,
98,canino,Fox Terrier Toy,
99,canino,Foxhound Americano,
100,canino,Foxhound Inglés,
101,canino,Galgo Español,
102,canino,Galgo Italiano,
103,canino,Gascon Saintongeois,
104,canino,Glen Of Imaal Terrier,
105,canino,Golden Retriever,
106,canino,Gran Basset Grifón vendeano,
107,canino,Gran Danés,
108,canino,Greyhound,
109,canino,Grifon Belga,
110,canino,Grifón de Bruselas,
111,canino,Grifón de muestra bohemio de pelo duro,
112,canino,Grifón de muestra eslovaco de pelo duro,
113,canino,Grifón de muestra Korthals de pelo duro,
114,canino,Hamilton Stovare,
115,canino,Harrier,
116,canino,Hokkaïdo,
117,canino,Hovawart,
118,canino,Husky Siberiano,
119,canino,Irish Soft Coated Wheaten Terrier,
120,canino,Jack Russell Terrier,
121,canino,Jamthund,
122,canino,Kai,
123,canino,Karjalankarhukoira,
124,canino,Keedhond,
125,canino,Kerry Blue Terrier,
126,canino,Kishu,
127,canino,Komondor,
128,canino,Korea Jinco Dog,
129,canino,Kromfohrländer,
130,canino,Kuvasz,
131,canino,Labrador Retriever,
132,canino,Laïka de Siberia oriental,
133,canino,Laïka Ruso-Europeo,
134,canino,Lakeland Terrier,
135,canino,Landseer,
136,canino,Lebrel Húngaro,
137,canino,Leonberger,
138,canino,Lhasa Apso,
139,canino,Löwchen,
140,canino,Lundehund,
141,canino,Malamute de Alaska,
142,canino,Mastín,
143,canino,Mastín Napolitano,
144,canino,Mastín Tibetano,
145,canino,Mudi,
146,canino,Münsterländer grande,
147,canino,Münsterländer pequeño,
148,canino,Otterhound,
149,canino,Papillon,
150,canino,Parson Russell Terrier,
151,canino,Pastor Alemán,
152,canino,Pastor Australiano,
153,canino,Pastor Belga,
154,canino,Pastor Blanco Suizo,
155,canino,Pastor Catalán,
156,canino,Pastor de Anatolia,
157,canino,Pastor de Beauce,
158,canino,Pastor de los Pirineos,
159,canino,Pastor de Shetland,
160,canino,Pastor polaco de tierras bajas,
161,canino,Pequeño Basset Grifón vendeano,
162,canino,Pequeño Brabanzón,
163,canino,Pequeño perro holandés para la caza acuática,
164,canino,Pequinés,
165,canino,Perdiguero de Burgos,
166,canino,Perdiguero de Drente,
167,canino,Perdiguero Portugués,
168,canino,Perro crestado Chino,
169,canino,Perro de Agua americano,
170,canino,Perro de Agua español,
171,canino,Perro de Agua portugués,
172,canino,Perro de Canaan,
173,canino,Perro de Castro Laboreiro,
174,canino,Perro de Groenlandia,
175,canino,Perro de montaña Appenzell,
176,canino,Perro de montaña Bernés,
177,canino,Perro de montaña de la Sierra de la Estrela,
178,canino,Perro de montaña de los pirineos,
179,canino,Perro de montaña del Atlas,
180,canino,Perro de montaña Gran Suizo,
181,canino,Perro de muestra alemán de pelo cerdoso,
182,canino,Perro de muestra Danés,
183,canino,Perro de pastor bergamasco,
184,canino,Perro de pastor de Asia central,
185,canino,Perro de pastor de Karst,
186,canino,Perro de pastor de Rusia meridional,
187,canino,Perro de pastor del Cáucaso,
188,canino,Perro de pastor islandés,
189,canino,Perro de pastor polaco de las Llanuras,
190,canino,Perro de pastor polaco de Podhale,
191,canino,Perro de pastor portugués,
192,canino,Perro de pastor yugoslavo de Charplanina,
193,canino,Perro Entlebucher,
194,canino,Perro esquimal Americano,
195,canino,Perro Esquimal Canadiense,
196,canino,Perro Lobo Checoslovaco,
197,canino,Perro Lobo de Sarloos,
198,canino,Perro pastor croato,
199,canino,Perro pastor Mallorquín,
200,canino,Perro pastor Maremmano-Abruzzese,
201,canino,Perro sin pelo del Perú,
202,canino,Perro sin pelo Mexicano,
203,canino,Perro Smous holandés,
204,canino,Pinscher,
205,canino,Pinscher austriaco,
206,canino,Pinscher miniatura,
207,canino,Plott Hound,
208,canino,Podenco Canario,
209,canino,Podenco ibicenco,
210,canino,Podenco portugués,
211,canino,Pointer,
212,canino,Pointer alemán de pelo corto,
213,canino,Pointer alemán de pelo duro,
214,canino,Poitevin,
215,canino,Pomerania,
216,canino,Porcelaine,
217,canino,Pudelpointer,
218,canino,Puli,
219,canino,Pumi,
220,canino,Rafeiro del Alentejo,
221,canino,Rastreador de Hannover,
222,canino,Rastreador montañés de Baviera,
223,canino,Retriever de La Bahía de Chesapeake,
224,canino,Retriever de pelo liso,
225,canino,Ridgeback de Rodesia,
226,canino,Rottweiler,
227,canino,Sabueso alemán,
228,canino,Sabueso Artesiano,
229,canino,Sabueso austriaco negro y fuego,
230,canino,Sabueso de Bosnia de pelo cerdoso,
231,canino,Sabueso de Hygen,
232,canino,Sabueso de las montañas de Montenegro,
233,canino,Sabueso de Smaland,
234,canino,Sabueso de Transilvania,
235,canino,Sabueso del Tirol,
236,canino,Sabueso eslovaco,
237,canino,Sabueso español,
238,canino,Sabueso Estirio de pelo duro,
239,canino,Sabueso Finlandés,
240,canino,Sabueso francés tricolor,
241,canino,Sabueso Halden,
242,canino,Sabueso Italiano de pelo corto,
243,canino,Sabueso Italiano de pelo duro,
244,canino,Sabueso Noruego,
245,canino,Sabueso Polaco,
246,canino,Sabueso Schiller,
247,canino,Sabueso Serbio,
248,canino,Sabueso Suizo,
249,canino,Sabueso tricolor serbio,
250,canino,Saluki (galgo persa),
